customer_id,age,gender,city,country,acquisition_channel,loyalty_level,purchase_frequency,average_order_value,total_orders,total_spent,discount_usage,last_purchase_days,number_returns,payment_method,device,newsletter_subscribed,signup_date,record_source,churn
CUST-000001,43.0,Femme,Lille,France,Paid Search,Gold,4.0,92.41,10,886.73,0.318,2,0,Carte,Mobile,False,2022-04-08,retailsense_demo,False
CUST-000002,27.0,Femme,Bordeaux,France,Referral,Bronze,4.0,143.75,7,1015.5,0.19,109,0,Carte,Mobile,True,2024-02-09,retailsense_demo,False
CUST-000003,48.0,Femme,Paris,France,Social Media,Platinum,6.0,85.51,14,1160.44,0.064,32,1,Carte,Desktop,False,2022-01-28,retailsense_demo,False
CUST-000004,50.0,Femme,Bruxelles,Belgique,Social Media,Bronze,7.0,70.88,27,1983.87,0.341,26,1,PayPal,Desktop,True,2023-08-30,retailsense_demo,False
CUST-000005,18.0,Homme,Genève,Suisse,Referral,Bronze,5.0,121.63,15,14754.88,0.649,139,1,PayPal,Mobile,True,2025-11-05,retailsense_demo,True
CUST-000006,23.0,Femme,Bordeaux,France,Referral,Gold,7.0,205.72,14,2894.95,0.319,80,1,Carte,Mobile,True,2023-10-21,retailsense_demo,False
CUST-000007,41.0,Femme,Lille,France,Paid Search,Gold,3.0,108.77,7,816.37,0.3,10,2,Carte,Tablet,False,2024-09-24,retailsense_demo,True
CUST-000008,35.0,Femme,Lille,France,Paid Search,Silver,9.0,77.4,39,2932.81,0.312,18,3,Virement,Desktop,False,2023-07-17,retailsense_demo,False
CUST-000009,39.0,Femme,Lille,France,Social Media,Platinum,8.0,86.28,22,1939.27,0.636,10,2,Carte,Desktop,True,2025-04-25,retailsense_demo,False
CUST-000010,29.0,Femme,Lyon,France,Organic,Bronze,5.0,79.27,14,1021.05,0.505,84,0,Carte,Mobile,False,2022-04-09,retailsense_demo,True
CUST-000011,50.0,Homme,Lille,France,Referral,Gold,5.0,70.73,10,5873.04,0.479,87,0,PayPal,Mobile,True,2022-11-22,retailsense_demo,False
CUST-000012,48.0,Femme,Paris,France,Organic,Bronze,4.0,198.2,10,1982.82,0.153,159,0,Carte,Mobile,True,2025-03-25,retailsense_demo,True
CUST-000013,,Homme,Paris,France,Organic,Silver,8.0,48.93,32,1492.8,0.51,24,5,Apple Pay,Desktop,True,2021-03-06,retailsense_demo,False
CUST-000014,53.0,Homme,Bordeaux,France,Referral,Silver,2.0,122.04,8,898.46,0.278,13,0,Carte,Desktop,True,2024-03-21,retailsense_demo,False
CUST-000015,45.0,Femme,Lille,France,Paid Search,Bronze,7.0,66.0,20,1363.62,0.308,10,0,Virement,Mobile,False,2024-11-25,retailsense_demo,False
CUST-000016,29.0,Femme,Bruxelles,Belgique,Organic,Silver,3.0,34.45,13,459.46,0.423,119,2,Carte,Desktop,True,2025-12-01,retailsense_demo,False
CUST-000017,43.0,Femme,Lyon,France,Organic,Silver,3.0,64.05,8,525.93,0.113,56,0,Carte,Desktop,True,2024-09-21,retailsense_demo,False
CUST-000018,27.0,Homme,Bruxelles,Belgique,Social Media,Bronze,1.0,53.92,4,213.53,0.494,71,0,Carte,Desktop,True,2025-10-13,retailsense_demo,True
